,Districts2001,Districts2004,Rank,State,districtsGeoChange
0,45,71,1,Uttar Pradesh,-
1,45,51,2,Madhya Pradesh,-
2,37,40,3,Bihar,34
3,35,36,4,Maharashtra,31
4,32,33,5,Rajasthan,18
5,30,32,6,Tamil Nadu,25
6,27,30,7,Karnataka,24
7,30,30,8,Odisha,26
8,23,27,9,Assam,15
9,25,33,10,Gujarat,20
10,18,24,11,Jharkhand,9
11,23,13,12,Andhra Pradesh,13
12,14,22,13,Jammu and Kashmir,5
13,19,21,14,Haryana,17
14,17,22,15,Punjab,8
15,18,20,16,West Bengal,17
16,16,27,17,Chhattisgarh,8
17,14,14,18,Kerala,14
18,13,17,19,Arunachal Pradesh,10
19,13,13,20,Uttarakhand,11
20,12,12,21,Himachal Pradesh,12
21,8,11,22,Nagaland,3
22,9,11,23,Delhi,9
23,9,9,24,Manipur,9
24,8,8,25,Mizoram,4
25,7,11,26,Meghalaya,4
26,4,4,27,Sikkim,4
27,4,8,28,Tripura,2
28,4,4,29,Puducherry,4
29,2,3,30,Andaman and Nicobar Islands,1
30,2,2,31,Goa,2
31,2,2,32,Daman and Diu,2
32,1,1,33,Dadra and Nagar Haveli,1
33,1,1,34,Chandigarh,1
34,1,1,35,Lakshadweep,1
35,0,10,36,Telangana,10
36,593,640,Total,INDIA,464
